CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
POU2F1_14444	POU2F1	171	289	787	813
LUZP2_68759	LUZP2	1095	934	742	1008
PIK3R1_13991	PIK3R1	846	1052	765	763
XCR1_7507	XCR1	476	481	591	473
TRAPPC8_31089	TRAPPC8	245	148	293	286
MLH3_35429	MLH3	629	595	562	727
PAXIP1_31340	PAXIP1	1116	1587	770	846
ZSWIM8_31593	ZSWIM8	808	685	820	1028
TMEM11_23140	TMEM11	840	1170	1329	1575
RBBP9_29036	RBBP9	895	1081	848	1017
GSTT2B_74397	GSTT2B	1753	1852	1301	1333
EPS8_5718	EPS8	580	645	663	616
